country,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,continent
Afghanistan,74.0,84.0,94.0,110.0,110.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Netherlands,82.0,128.0,188.0,265.0,321.0,382.0,503.0,503.0,806.0,962.0,1138.0,1416.0,1711.0,2058.0,2467.0,3003.0,3640.0,4217.0,4764.0,5580.0,6438.0,7468.0,8647.0,9819.0,10930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
New Zealand,52.0,102.0,102.0,155.0,205.0,283.0,368.0,451.0,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Morocco,63.0,77.0,96.0,115.0,143.0,170.0,225.0,275.0,345.0,402.0,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Nigeria,51.0,65.0,70.0,89.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Norway,56.0,87.0,108.0,147.0,176.0,205.0,400.0,598.0,702.0,996.0,1090.0,1221.0,1333.0,1463.0,1550.0,1746.0,1914.0,2118.0,2385.0,2621.0,2863.0,3084.0,3369.0,3755.0,4015.0,4284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Oman,52.0,55.0,66.0,84.0,99.0,109.0,131.0,152.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Pakistan,53.0,136.0,236.0,299.0,454.0,501.0,730.0,776.0,875.0,972.0,1063.0,1201.0,1373.0,1495.0,1597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Panama,55.0,69.0,86.0,109.0,137.0,200.0,313.0,345.0,345.0,443.0,558.0,674.0,786.0,901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America
Paraguay,52.0,56.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America
Peru,86.0,117.0,145.0,234.0,234.0,318.0,363.0,395.0,416.0,480.0,580.0,635.0,671.0,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America
Philippines,52.0,64.0,111.0,140.0,142.0,187.0,202.0,217.0,230.0,307.0,380.0,462.0,552.0,636.0,707.0,803.0,1075.0,1418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
North Macedonia,67.0,85.0,115.0,136.0,148.0,177.0,201.0,219.0,241.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Poland,68.0,103.0,119.0,177.0,238.0,251.0,355.0,425.0,536.0,634.0,749.0,901.0,1051.0,1221.0,1389.0,1638.0,1862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Montenegro,52.0,69.0,82.0,84.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Kyrgyzstan,58.0,58.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Latvia,71.0,86.0,111.0,124.0,139.0,180.0,197.0,221.0,244.0,280.0,305.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Lebanon,61.0,61.0,77.0,93.0,110.0,110.0,120.0,133.0,157.0,163.0,187.0,248.0,267.0,318.0,333.0,368.0,391.0,412.0,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Liechtenstein,51.0,51.0,51.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Lithuania,83.0,143.0,179.0,209.0,274.0,299.0,358.0,394.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Luxembourg,51.0,59.0,77.0,140.0,203.0,335.0,484.0,670.0,798.0,875.0,1099.0,1333.0,1453.0,1605.0,1831.0,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Malaysia,50.0,50.0,83.0,93.0,99.0,117.0,129.0,149.0,149.0,197.0,238.0,428.0,566.0,673.0,790.0,900.0,1030.0,1183.0,1306.0,1518.0,1624.0,1796.0,2031.0,2161.0,2320.0,2470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Malta,53.0,64.0,73.0,90.0,107.0,110.0,129.0,134.0,139.0,149.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Mauritius,81.0,94.0,102.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Mexico,53.0,82.0,93.0,118.0,164.0,203.0,251.0,316.0,367.0,405.0,475.0,585.0,717.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America
Moldova,66.0,80.0,94.0,109.0,125.0,149.0,177.0,199.0,231.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Qatar,262.0,262.0,320.0,337.0,401.0,439.0,439.0,452.0,460.0,470.0,481.0,494.0,501.0,526.0,537.0,549.0,562.0,590.0,634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Romania,89.0,123.0,131.0,158.0,184.0,260.0,277.0,308.0,367.0,433.0,576.0,794.0,906.0,1029.0,1292.0,1452.0,1815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Russia,59.0,63.0,90.0,114.0,147.0,199.0,253.0,306.0,367.0,438.0,495.0,658.0,840.0,1036.0,1264.0,1534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
