country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime,continent
Afghanistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Albania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Algeria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Andorra, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Angola, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Antigua and Barbuda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Argentina, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Armenia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Australia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Oceania
Austria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Azerbaijan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Bahamas, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Bahrain, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Bangladesh, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Barbados, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Belarus, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Belgium, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Belize, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Benin, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Bhutan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Bolivia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Bosnia and Herzegovina, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Brazil, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Brunei, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Bulgaria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Burkina Faso, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Burma, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Cabo Verde, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Cambodia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Cameroon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Canada, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Central African Republic, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Chad, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Chile, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
China, 1/22/2020,548.0,548.0,548.0,17.0,17.0,0.03102189781021898,0.03102189781021898,2020-01-22,Asia
Colombia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Congo (Brazzaville), 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Congo (Kinshasa), 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Costa Rica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Cote d'Ivoire, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Croatia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Cuba, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Cyprus, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
