country,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,Day 69,Day 70,continent
Afghanistan,34.0,10.0,10.0,16.0,0.0,10.0,50.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Netherlands,44.0,46.0,60.0,77.0,56.0,61.0,121.0,0.0,303.0,156.0,176.0,278.0,295.0,347.0,409.0,536.0,637.0,577.0,547.0,816.0,858.0,1030.0,1179.0,1172.0,1111.0,887.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
New Zealand,13.0,50.0,0.0,53.0,50.0,78.0,85.0,83.0,63.0,75.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Nigeria,7.0,14.0,5.0,19.0,22.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
North Macedonia,19.0,18.0,30.0,21.0,12.0,29.0,24.0,18.0,22.0,18.0,26.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Norway,24.0,31.0,21.0,39.0,29.0,29.0,195.0,198.0,104.0,294.0,94.0,131.0,112.0,130.0,87.0,196.0,168.0,204.0,267.0,236.0,242.0,221.0,285.0,386.0,260.0,269.0,161.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Pakistan,22.0,83.0,100.0,63.0,155.0,47.0,229.0,46.0,99.0,97.0,91.0,138.0,172.0,122.0,102.0,120.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Panama,12.0,14.0,17.0,23.0,28.0,63.0,113.0,32.0,0.0,98.0,115.0,116.0,112.0,115.0,88.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America
Paraguay,11.0,4.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America
Peru,43.0,31.0,28.0,89.0,0.0,84.0,45.0,32.0,21.0,64.0,100.0,55.0,36.0,181.0,98.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America
Philippines,3.0,12.0,47.0,29.0,2.0,45.0,15.0,15.0,13.0,77.0,73.0,82.0,90.0,84.0,71.0,96.0,272.0,343.0,128.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Poland,19.0,35.0,16.0,58.0,61.0,13.0,104.0,70.0,111.0,98.0,115.0,152.0,150.0,170.0,168.0,249.0,224.0,193.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Portugal,18.0,0.0,53.0,57.0,76.0,86.0,117.0,0.0,337.0,235.0,260.0,320.0,460.0,302.0,633.0,549.0,724.0,902.0,792.0,446.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Oman,4.0,3.0,11.0,18.0,15.0,10.0,22.0,21.0,15.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Morocco,14.0,14.0,19.0,19.0,28.0,27.0,55.0,50.0,70.0,57.0,77.0,77.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Montenegro,5.0,17.0,13.0,2.0,1.0,6.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Latvia,22.0,15.0,25.0,13.0,15.0,41.0,17.0,24.0,23.0,36.0,25.0,42.0,29.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Lebanon,20.0,0.0,16.0,16.0,17.0,0.0,10.0,13.0,24.0,6.0,24.0,61.0,19.0,51.0,15.0,35.0,23.0,21.0,26.0,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Liechtenstein,14.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
