country,continent,datetime,count,type
Armenia,Asia,2020-04-06,500.0,infections
Armenia,Asia,2020-04-06,333.0,infections
Albania,Europe,2020-04-06,377.0,infections
Algeria,Africa,2020-04-06,500.0,infections
Algeria,Africa,2020-04-06,500.0,infections
Algeria,Africa,2020-04-06,423.0,infections
Andorra,Europe,2020-04-06,500.0,infections
Andorra,Europe,2020-04-06,25.0,infections
Afghanistan,Asia,2020-04-06,367.0,infections
Argentina,South America,2020-04-06,500.0,infections
Argentina,South America,2020-04-06,500.0,infections
Argentina,South America,2020-04-06,500.0,infections
Argentina,South America,2020-04-06,54.0,infections
Argentina,South America,2020-04-06,325.0,recovered
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,500.0,infections
Australia,Oceania,2020-04-06,297.0,infections
Australia,Oceania,2020-04-06,500.0,recovered
Australia,Oceania,2020-04-06,500.0,recovered
Australia,Oceania,2020-04-06,80.0,recovered
Azerbaijan,Asia,2020-04-06,500.0,infections
Azerbaijan,Asia,2020-04-06,141.0,infections
Bahrain,Asia,2020-04-06,500.0,infections
Bahrain,Asia,2020-04-06,256.0,infections
Bahrain,Asia,2020-04-06,458.0,recovered
Belarus,Europe,2020-04-06,500.0,infections
Belarus,Europe,2020-04-06,200.0,infections
Belgium,Europe,2020-04-06,500.0,infections
Belgium,Europe,2020-04-06,500.0,infections
Belgium,Europe,2020-04-06,500.0,infections
Belgium,Europe,2020-04-06,500.0,infections
Belgium,Europe,2020-04-06,500.0,infections
Belgium,Europe,2020-04-06,500.0,infections
