Row Labels, 1/22/2020, 1/23/2020, 1/24/2020, 1/25/2020, 1/26/2020, 1/27/2020, 1/28/2020, 1/29/2020, 1/30/2020, 1/31/2020, 2/1/2020, 2/2/2020, 2/3/2020, 2/4/2020, 2/5/2020, 2/6/2020, 2/7/2020, 2/8/2020, 2/9/2020, 2/10/2020, 2/11/2020, 2/12/2020, 2/13/2020, 2/14/2020, 2/15/2020, 2/16/2020, 2/17/2020, 2/18/2020, 2/19/2020, 2/20/2020, 2/21/2020, 2/22/2020, 2/23/2020, 2/24/2020, 2/25/2020, 2/26/2020, 2/27/2020, 2/28/2020, 2/29/2020, 3/1/2020, 3/2/2020, 3/3/2020, 3/4/2020, 3/5/2020, 3/6/2020, 3/7/2020, 3/8/2020, 3/9/2020, 3/10/2020, 3/11/2020, 3/12/2020, 3/13/2020, 3/14/2020, 3/15/2020, 3/16/2020, 3/17/2020, 3/18/2020, 3/19/2020, 3/20/2020, 3/21/2020, 3/22/2020, 3/23/2020, 3/24/2020, 3/25/2020, 3/26/2020, 3/27/2020, 3/28/2020, 3/29/2020, 3/30/2020, 3/31/2020, 4/1/2020, 4/2/2020, 4/3/2020, 4/4/2020, 4/5/2020, 4/6/2020,country,continent
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.6,0.6,0.8,1.2,1.2,0.6,1.4,2.2,2.8,3,3,2.2,1.6,0.6,3.6,3.6,10.4,12,14,14,14,9.2,17.2,16,25.4,32.6,32.2,25.8,35,Afghanistan,Asia
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,2.4,4.6,6.6,7.2,6.4,7.8,6.4,5.2,5.2,5.6,5,6.8,9,11.8,15.2,19.6,19.4,18.6,17.8,15.4,13.8,14.6,16,18.4,22,23.6,Albania,Europe
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0.4,0.8,2.2,2.2,3.2,2.8,2.8,1.6,1.6,0.6,1.4,1.4,3.4,5.6,6.8,7.2,9.6,10,8.4,17,28.2,31.2,35.4,42.4,45.6,41.6,44.8,49.4,56.4,69.8,87.6,106.4,132,133.4,120.8,Algeria,Africa
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,7.6,7.6,10.4,14.8,17.2,14.8,18.8,22.2,22.6,27.2,30.8,35,34,36.4,30.4,24.6,24,21,19.2,25,Andorra,Europe
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.8,0.8,0.6,0.8,0.6,0.2,0.6,1.4,Angola,Africa
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0.4,0.4,0.4,1.2,1.2,0.8,0.8,0.8,0,0,0.4,1.6,1.6,1.6,Antigua and Barbuda,North America
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1.6,2.2,2.2,3.2,3.4,2.2,3.8,4.4,5.6,7.4,9.8,9.6,12.6,16.6,20.4,39.6,44.4,58,51.8,68.8,64.6,77.8,71.6,86.6,110.4,93,88.6,104,126.2,79.4,Argentina,South America
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0.6,1.4,3.4,5,10.2,14.8,15.2,19.4,22,21.6,23.2,30.2,26.8,25.8,26,27,34.4,35,43.4,48.4,48.4,51.2,62.4,57.6,58,Armenia,Asia
Australia,0,0,0,0,4,0.8,1,1,1.2,1.7999999999999998,1,1.4,1.4,1.2000000000000002,0.8,0.8,0.4,0.6,0.6,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.4,3,4.800000000000001,7.4,6.000000000000001,6.6,6.6000000000000005,7.4,7.800000000000001,10.399999999999999,13.600000000000001,13,24.8,31.8,38.00000000000001,49.79999999999999,64.8,73.60000000000001,86.20000000000002,98.8,138.8,219.39999999999998,222.8,272.6,314.59999999999997,347.8,318.79999999999995,391.6000000000001,388.00000000000006,399.40000000000003,349.80000000000007,343.8,295.19999999999993,269.2,237.8,225.6,Australia,Oceania
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,0.6,1.8,2.4,3.2,3.6,5.2,6.4,8.2,12.2,16.6,20.4,28.2,38.2,44.6,80,104.8,135.6,154.4,206,228.4,271.6,305.6,359.2,450,565.6,654,640,819,815,759.4,701,806,654.2,610.8,571.6,547.2,432.6,374.2,Austria,Europe
