country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Afghanistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Albania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Algeria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Andorra, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Angola, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Antigua and Barbuda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Argentina, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Armenia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Australia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Austria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Azerbaijan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bahamas, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bahrain, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bangladesh, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Barbados, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Belarus, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Belgium, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Belize, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Benin, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bhutan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bolivia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bosnia and Herzegovina, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Brazil, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Brunei, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Bulgaria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Burkina Faso, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Burma, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cabo Verde, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cambodia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cameroon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Canada, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Central African Republic, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Chad, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Chile, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
China, 1/22/2020,548.0,548.0,548.0,17.0,17.0,0.03102189781021898,0.03102189781021898,2020-01-22
Colombia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Congo (Brazzaville), 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Congo (Kinshasa), 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Costa Rica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cote d'Ivoire, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Croatia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cuba, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Cyprus, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Czechia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Denmark, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Diamond Princess, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Djibouti, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Dominica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Dominican Republic, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Ecuador, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Egypt, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
El Salvador, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Equatorial Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Eritrea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Estonia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Eswatini, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Ethiopia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Fiji, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Finland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
France, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Gabon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Gambia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Georgia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Germany, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Ghana, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Greece, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Grenada, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Guatemala, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Guinea-Bissau, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Guyana, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Haiti, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Holy See, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Honduras, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
